v0,N,dpsi_deg,vstar
250,8,0,257.1
250,8,2,256.1
250,8,4,253.1
250,8,6,247.8
250,8,8,261.1
250,8,10,240.5
250,8,12,253.9
250,8,14,264.0
250,8,16,259.6
250,8,18,261.1
250,8,20,262.3
250,8,22,257.8
250,8,24,256.7
250,8,26,252.4
250,8,28,247.6
250,8,30,248.4
250,8,32,253.0
250,8,34,256.7
250,8,36,261.2
250,8,38,256.8
250,8,40,255.8
250,8,42,259.4
250,8,44,258.4
250,8,46,253.1
250,8,48,243.3
250,8,50,249.8
250,8,52,251.4
250,8,54,256.0
250,8,56,259.6
250,8,58,258.6
250,8,60,254.0
250,8,62,253.0
250,8,64,248.6
250,8,66,251.0
250,8,68,250.1
250,8,70,245.8
250,8,72,245.2
250,8,74,254.1
250,8,76,253.1
250,8,78,248.8
250,8,80,255.5
250,8,82,250.3
250,8,84,250.0
250,8,86,245.1
250,8,88,240.5
250,8,90,253.3
250,8,92,248.8
250,8,94,242.0
250,8,96,237.9
250,8,98,250.2
250,8,100,245.1
250,8,102,240.7
250,8,104,240.1
250,8,106,230.3
250,8,108,241.9
250,8,110,237.6
250,8,112,237.1
250,8,114,231.9
250,8,116,238.9
250,8,118,239.9
250,8,120,235.6
250,8,122,229.6
250,8,124,225.2
250,8,126,236.9
250,8,128,232.1
250,8,130,228.0
250,8,132,222.4
250,8,134,217.5
250,8,136,234.9
250,8,138,224.5
250,8,140,220.5
250,8,142,219.7
250,8,144,226.2
250,8,146,221.7
250,8,148,222.7
250,8,150,216.9
250,8,152,212.5
250,8,154,218.9
250,8,156,219.8
250,8,158,215.4
250,8,160,209.8
250,8,162,205.7
250,8,164,211.7
250,8,166,212.7
250,8,168,208.5
250,8,170,208.2
250,8,172,194.6
250,8,174,204.9
250,8,176,205.9
250,8,178,201.8
250,8,180,201.6
250,10,0,264.0
250,10,2,263.0
250,10,4,264.4
250,10,6,260.1
250,10,8,264.6
250,10,10,261.5
250,10,12,262.8
250,10,14,264.0
250,10,16,263.0
250,10,18,264.4
250,10,20,262.3
250,10,22,264.6
250,10,24,260.2
250,10,26,261.8
250,10,28,262.8
250,10,30,261.7
250,10,32,262.1
250,10,34,265.7
250,10,36,264.6
250,10,38,260.3
250,10,40,261.6
250,10,42,262.8
250,10,44,261.8
250,10,46,257.3
250,10,48,264.6
250,10,50,259.2
250,10,52,260.4
250,10,54,261.8
250,10,56,259.6
250,10,58,262.0
250,10,60,265.7
250,10,62,264.7
250,10,64,259.9
250,10,66,258.9
250,10,68,253.7
250,10,70,249.3
250,10,72,262.1
250,10,74,257.6
250,10,76,256.6
250,10,78,260.2
250,10,80,259.1
250,10,82,254.5
250,10,84,261.6
250,10,86,248.6
250,10,88,255.9
250,10,90,256.8
250,10,92,252.3
250,10,94,259.3
250,10,96,254.7
250,10,98,253.7
250,10,100,249.3
250,10,102,256.1
250,10,104,250.9
250,10,106,246.3
250,10,108,245.6
250,10,110,241.1
250,10,112,253.9
250,10,114,249.3
250,10,116,248.4
250,10,118,243.9
250,10,120,250.7
250,10,122,245.6
250,10,124,229.0
250,10,126,240.5
250,10,128,236.4
250,10,130,248.6
250,10,132,243.5
250,10,134,243.4
250,10,136,238.7
250,10,138,239.4
250,10,140,240.4
250,10,142,236.2
250,10,144,235.7
250,10,146,231.1
250,10,148,243.4
250,10,150,238.4
250,10,152,234.1
250,10,154,229.5
250,10,156,224.8
250,10,158,235.4
250,10,160,230.7
250,10,162,226.6
250,10,164,222.0
250,10,166,232.3
250,10,168,233.4
250,10,170,228.8
250,10,172,224.2
250,10,174,219.6
250,10,176,224.8
250,10,178,225.8
250,10,180,221.4
250,12,0,270.7
250,12,2,266.1
250,12,4,267.8
250,12,6,267.8
250,12,8,269.1
250,12,10,268.0
250,12,12,266.4
250,12,14,270.7
250,12,16,266.3
250,12,18,268.1
250,12,20,265.7
250,12,22,265.5
250,12,24,266.1
250,12,26,265.2
250,12,28,266.2
250,12,30,266.4
250,12,32,269.1
250,12,34,267.9
250,12,36,268.1
250,12,38,263.6
250,12,40,270.7
250,12,42,262.8
250,12,44,267.7
250,12,46,263.5
250,12,48,264.6
250,12,50,263.4
250,12,52,270.7
250,12,54,265.2
250,12,56,266.3
250,12,58,265.3
250,12,60,269.1
250,12,62,268.1
250,12,64,263.7
250,12,66,262.4
250,12,68,266.2
250,12,70,265.1
250,12,72,265.5
250,12,74,261.0
250,12,76,262.4
250,12,78,263.5
250,12,80,262.6
250,12,82,266.3
250,12,84,265.3
250,12,86,260.5
250,12,88,267.8
250,12,90,260.3
250,12,92,262.0
250,12,94,262.7
250,12,96,258.4
250,12,98,265.5
250,12,100,260.7
250,12,102,259.7
250,12,104,255.1
250,12,106,262.1
250,12,108,255.0
250,12,110,258.5
250,12,112,253.9
250,12,114,252.9
250,12,116,260.0
250,12,118,255.2
250,12,120,254.3
250,12,122,249.8
250,12,124,256.6
250,12,126,257.6
250,12,128,253.0
250,12,130,252.1
250,12,132,247.7
250,12,134,254.5
250,12,136,249.3
250,12,138,249.0
250,12,140,244.1
250,12,142,245.1
250,12,144,239.5
250,12,146,247.8
250,12,148,243.4
250,12,150,242.2
250,12,152,249.1
250,12,154,244.6
250,12,156,239.7
250,12,158,240.2
250,12,160,235.9
250,12,162,247.0
250,12,164,242.5
250,12,166,237.7
250,12,168,237.2
250,12,170,237.9
250,12,172,238.9
250,12,174,234.7
250,12,176,235.2
250,12,178,237.0
250,12,180,235.9
250,14,0,270.7
250,14,2,274.0
250,14,4,271.4
250,14,6,272.4
250,14,8,272.4
250,14,10,269.8
250,14,12,270.7
250,14,14,270.7
250,14,16,271.4
250,14,18,272.4
250,14,20,272.4
250,14,22,271.5
250,14,24,271.5
250,14,26,270.7
250,14,28,269.5
250,14,30,269.8
250,14,32,272.4
250,14,34,271.2
250,14,36,271.2
250,14,38,268.4
250,14,40,270.7
250,14,42,269.7
250,14,44,271.0
250,14,46,268.9
250,14,48,271.1
250,14,50,271.5
250,14,52,274.0
250,14,54,269.7
250,14,56,269.6
250,14,58,268.7
250,14,60,269.1
250,14,62,268.1
250,14,64,269.8
250,14,66,268.2
250,14,68,266.3
250,14,70,268.5
250,14,72,265.5
250,14,74,271.4
250,14,76,271.5
250,14,78,274.0
250,14,80,268.4
250,14,82,269.6
250,14,84,268.7
250,14,86,264.0
250,14,88,267.8
250,14,90,266.8
250,14,92,265.7
250,14,94,266.1
250,14,96,268.2
250,14,98,268.9
250,14,100,264.5
250,14,102,263.2
250,14,104,266.9
250,14,106,265.9
250,14,108,261.1
250,14,110,268.4
250,14,112,263.6
250,14,114,264.6
250,14,116,260.0
250,14,118,258.9
250,14,120,266.1
250,14,122,261.3
250,14,124,260.4
250,14,126,261.1
250,14,128,262.8
250,14,130,255.6
250,14,132,259.1
250,14,134,258.1
250,14,136,259.4
250,14,138,260.5
250,14,140,255.9
250,14,142,254.8
250,14,144,255.7
250,14,146,257.2
250,14,148,258.3
250,14,150,253.7
250,14,152,252.7
250,14,154,248.3
250,14,156,255.0
250,14,158,250.5
250,14,160,251.5
250,14,162,250.5
250,14,164,251.8
250,14,166,252.9
250,14,168,248.3
250,14,170,247.3
250,14,172,242.6
250,14,174,249.7
250,14,176,250.7
250,14,178,246.2
250,14,180,241.4
250,16,0,277.3
250,16,2,277.3
250,16,4,274.8
250,16,6,275.7
250,16,8,274.8
250,16,10,274.8
250,16,12,273.1
250,16,14,277.3
250,16,16,274.8
250,16,18,275.7
250,16,20,275.7
250,16,22,275.7
250,16,24,277.3
250,16,26,277.3
250,16,28,277.3
250,16,30,273.1
250,16,32,275.7
250,16,34,275.7
250,16,36,274.8
250,16,38,274.0
250,16,40,274.0
250,16,42,274.8
250,16,44,274.8
250,16,46,272.4
250,16,48,271.5
250,16,50,277.3
250,16,52,277.3
250,16,54,277.3
250,16,56,271.8
250,16,58,274.3
250,16,60,274.4
250,16,62,274.5
250,16,64,273.1
250,16,66,272.6
250,16,68,272.7
250,16,70,269.2
250,16,72,269.7
250,16,74,274.7
250,16,76,274.8
250,16,78,274.0
250,16,80,271.7
250,16,82,272.9
250,16,84,272.0
250,16,86,274.4
250,16,88,274.3
250,16,90,270.1
250,16,92,271.3
250,16,94,273.1
250,16,96,272.1
250,16,98,275.7
250,16,100,274.5
250,16,102,269.7
250,16,104,268.6
250,16,106,268.8
250,16,108,271.2
250,16,110,268.4
250,16,112,267.4
250,16,114,274.8
250,16,116,269.9
250,16,118,268.8
250,16,120,269.5
250,16,122,271.3
250,16,124,263.7
250,16,126,267.5
250,16,128,266.5
250,16,130,261.8
250,16,132,269.0
250,16,134,264.1
250,16,136,265.3
250,16,138,263.9
250,16,140,265.6
250,16,142,266.7
250,16,144,261.9
250,16,146,260.9
250,16,148,261.7
250,16,150,263.3
250,16,152,264.4
250,16,154,259.6
250,16,156,258.7
250,16,158,260.1
250,16,160,261.1
250,16,162,256.4
250,16,164,257.5
250,16,166,256.5
250,16,168,257.8
250,16,170,258.9
250,16,172,254.3
250,16,174,254.7
250,16,176,254.2
250,16,178,255.6
250,16,180,256.8
250,18,0,280.5
250,18,2,280.5
250,18,4,277.9
250,18,6,278.9
250,18,8,278.9
250,18,10,278.0
250,18,12,280.5
250,18,14,280.5
250,18,16,278.0
250,18,18,278.9
250,18,20,278.9
250,18,22,278.0
250,18,24,280.5
250,18,26,277.3
250,18,28,280.5
250,18,30,277.5
250,18,32,278.9
250,18,34,278.0
250,18,36,277.8
250,18,38,280.5
250,18,40,280.5
250,18,42,278.0
250,18,44,278.9
250,18,46,278.9
250,18,48,278.9
250,18,50,280.5
250,18,52,277.3
250,18,54,277.3
250,18,56,277.4
250,18,58,278.0
250,18,60,277.6
250,18,62,277.7
250,18,64,276.4
250,18,66,275.9
250,18,68,278.0
250,18,70,275.3
250,18,72,278.9
250,18,74,277.9
250,18,76,277.8
250,18,78,274.8
250,18,80,274.8
250,18,82,277.4
250,18,84,274.6
250,18,86,274.4
250,18,88,274.3
250,18,90,273.4
250,18,92,280.5
250,18,94,276.4
250,18,96,275.4
250,18,98,278.9
250,18,100,277.8
250,18,102,273.5
250,18,104,274.9
250,18,106,272.5
250,18,108,274.9
250,18,110,275.0
250,18,112,277.7
250,18,114,278.0
250,18,116,273.8
250,18,118,272.1
250,18,120,276.2
250,18,122,275.3
250,18,124,270.3
250,18,126,277.8
250,18,128,272.8
250,18,130,273.9
250,18,132,272.9
250,18,134,268.0
250,18,136,268.6
250,18,138,270.5
250,18,140,269.4
250,18,142,270.1
250,18,144,271.9
250,18,146,273.0
250,18,148,268.1
250,18,150,267.1
250,18,152,268.6
250,18,154,269.6
250,18,156,264.8
250,18,158,265.9
250,18,160,264.9
250,18,162,266.2
250,18,164,267.3
250,18,166,262.5
250,18,168,261.5
250,18,170,262.6
250,18,172,263.9
250,18,174,265.0
250,18,176,262.8
